familycode,descriptionfc,familycoderollup,descriptionfcr,adult,infant,preschooler,school-age,teenager,children
a1i0p0s0t0,single adult,a1c0,single adult,1,0,0,0,0,0
a1i1p0s0t0,adult and infant,a1c1,adult and child,1,1,0,0,0,1
a1i0p1s0t0,adult and preschooler,a1c1,adult and child,1,0,1,0,0,1
a1i0p0s1t0,adult and school-age,a1c1,adult and child,1,0,0,1,0,1
a1i0p0s0t1,adult and teenager,a1c1,adult and child,1,0,0,0,1,1
a1i2p0s0t0,adult and two infants,a1c2,adult and two children,1,2,0,0,0,2
a1i1p1s0t0,"adult, infant and preschooler",a1c2,adult and two children,1,1,1,0,0,2
a1i1p0s1t0,"adult, infant and school-age",a1c2,adult and two children,1,1,0,1,0,2
a1i1p0s0t1,"adult, infant and teenager",a1c2,adult and two children,1,1,0,0,1,2
a1i0p2s0t0,adult and two preschoolers,a1c2,adult and two children,1,0,2,0,0,2
a1i0p1s1t0,"adult, preschooler and school-age",a1c2,adult and two children,1,0,1,1,0,2
a1i0p1s0t1,"adult, preschooler and teenager",a1c2,adult and two children,1,0,1,0,1,2
a1i0p0s2t0,adult and two school-age,a1c2,adult and two children,1,0,0,2,0,2
a1i0p0s1t1,"adult, school-age and teenager",a1c2,adult and two children,1,0,0,1,1,2
a1i0p0s0t2,adult and two teenagers,a1c2,adult and two children,1,0,0,0,2,2
a1i3p0s0t0,adult and three infants,a1c3,one adult and three children,1,3,0,0,0,3
a1i2p1s0t0,"adult, two infants and a preschooler",a1c3,one adult and three children,1,2,1,0,0,3
a1i2p0s1t0,"adult, two infants and a school-age",a1c3,one adult and three children,1,2,0,1,0,3
a1i2p0s0t1,"adult, two infants and a teenager",a1c3,one adult and three children,1,2,0,0,1,3
a1i1p2s0t0,"adult, an infant, and two presschoolers",a1c3,one adult and three children,1,1,2,0,0,3
a1i1p1s1t0,"adult, infant, preschooler and school-age",a1c3,one adult and three children,1,1,1,1,0,3
a1i1p1s0t1,"adult, infant, preschooler and teenager",a1c3,one adult and three children,1,1,1,0,1,3
a1i1p0s2t0,"adult, infant and two school-age",a1c3,one adult and three children,1,1,0,2,0,3
a1i1p0s1t1,"adult, infant, school-age, and teenager",a1c3,one adult and three children,1,1,0,1,1,3
a1i1p0s0t2,"adult, infant, and two teenagers",a1c3,one adult and three children,1,1,0,0,2,3
a1i0p3s0t0,adult and three preschoolers,a1c3,one adult and three children,1,0,3,0,0,3
a1i0p2s1t0,"adult, two preschoolers, and school-age",a1c3,one adult and three children,1,0,2,1,0,3
a1i0p2s0t1,"adult, two preschoolers, and teenager",a1c3,one adult and three children,1,0,2,0,1,3
a1i0p1s2t0,"adult, preschooler, and two school-age",a1c3,one adult and three children,1,0,1,2,0,3
a1i0p1s1t1,"adult, preschoolers, school-age and teenager",a1c3,one adult and three children,1,0,1,1,1,3
a1i0p1s0t2,"adult, preschooler, and two teenagers",a1c3,one adult and three children,1,0,1,0,2,3
a1i0p0s3t0,adult and three school-age,a1c3,one adult and three children,1,0,0,3,0,3
a1i0p0s2t1,"adult, two school-age, and teenager",a1c3,one adult and three children,1,0,0,2,1,3
a1i0p0s1t2,"adult, school-age and two teenagers",a1c3,one adult and three children,1,0,0,1,2,3
a1i0p0s0t3,adult and three teenagers,a1c3,one adult and three children,1,0,0,0,3,3
a2i0p0s0t0,two adults,a2c0,two adults,2,0,0,0,0,0
a2i1p0s0t0,two adults and an infant,a2c1,two adults and one child,2,1,0,0,0,1
a2i0p1s0t0,two adults and a preschooler,a2c1,two adults and one child,2,0,1,0,0,1
a2i0p0s1t0,two adults and a school-age,a2c1,two adults and one child,2,0,0,1,0,1
a2i0p0s0t1,two adults and a teenager,a2c1,two adults and one child,2,0,0,0,1,1
a2i2p0s0t0,two adults and two infants,a2c2,two adults and two children,2,2,0,0,0,2
a2i1p1s0t0,"two adults, infant and preschooler",a2c2,two adults and two children,2,1,1,0,0,2
a2i1p0s1t0,"two adults, infant and school-age",a2c2,two adults and two children,2,1,0,1,0,2
a2i1p0s0t1,"two adults, infant and teenager",a2c2,two adults and two children,2,1,0,0,1,2
a2i0p2s0t0,two adults and two preschoolers,a2c2,two adults and two children,2,0,2,0,0,2
a2i0p1s1t0,"two adults, preschooler and school-age",a2c2,two adults and two children,2,0,1,1,0,2
a2i0p1s0t1,"two adults, preschooler and teenager",a2c2,two adults and two children,2,0,1,0,1,2
a2i0p0s2t0,two adults and two school-age,a2c2,two adults and two children,2,0,0,2,0,2
a2i0p0s1t1,"two adults, school-age and teenager",a2c2,two adults and two children,2,0,0,1,1,2
a2i0p0s0t2,two adults and two teenagers,a2c2,two adults and two children,2,0,0,0,2,2
a2i3p0s0t0,two adults and three infants,a2c3,two adults and three children,2,3,0,0,0,3
a2i2p1s0t0,"two adults, two infants and preschooler",a2c3,two adults and three children,2,2,1,0,0,3
a2i2p0s1t0,"two adults, two infants and school-age",a2c3,two adults and three children,2,2,0,1,0,3
a2i2p0s0t1,"two adults, two infants and teenager",a2c3,two adults and three children,2,2,0,0,1,3
a2i1p2s0t0,"two adults, infant and two preschoolers",a2c3,two adults and three children,2,1,2,0,0,3
a2i1p1s1t0,"two adults, infant, preschooler, and school-age",a2c3,two adults and three children,2,1,1,1,0,3
a2i1p1s0t1,"two adults, infant, preschooler and teenager",a2c3,two adults and three children,2,1,1,0,1,3
a2i1p0s2t0,"two adults, infant, preschooler and teenager",a2c3,two adults and three children,2,1,0,2,0,3
a2i1p0s1t1,"two adults, infant, school-age and teenager",a2c3,two adults and three children,2,1,0,1,1,3
a2i1p0s0t2,"two adults, infant, and two teenagers",a2c3,two adults and three children,2,1,0,0,2,3
a2i0p3s0t0,two adults and three preschoolers,a2c3,two adults and three children,2,0,3,0,0,3
a2i0p2s1t0,"two adults, two preschoolers and school-age",a2c3,two adults and three children,2,0,2,1,0,3
a2i0p2s0t1,"two adults, two preschoolers and teenager",a2c3,two adults and three children,2,0,2,0,1,3
a2i0p1s2t0,"two adults, preschooler, and two school-age",a2c3,two adults and three children,2,0,1,2,0,3
a2i0p1s1t1,"two adults, preschooler, school-age and teenager",a2c3,two adults and three children,2,0,1,1,1,3
a2i0p1s0t2,"two adults, preschooler and two teenagers, ",a2c3,two adults and three children,2,0,1,0,2,3
a2i0p0s3t0,two adults and three school-age,a2c3,two adults and three children,2,0,0,3,0,3
a2i0p0s2t1,"two adults, two school-age, and teenager",a2c3,two adults and three children,2,0,0,2,1,3
a2i0p0s1t2,"two adults, school-age and two teenagers",a2c3,two adults and three children,2,0,0,1,2,3
a2i0p0s0t3,two adults and three teenagers,a2c3,two adults and three children,2,0,0,0,3,3
a1i2p2s0t0,"adult, two infants and two preschoolers",a1c4,one adult and four children,1,2,2,0,0,4
a1i2p1s1t0,"adult, two infants, preschooler and school-age",a1c4,one adult and four children,1,2,1,1,0,4
a1i1p2s1t0,"adult, infant, two preschoolers and school-age",a1c4,one adult and four children,1,1,2,1,0,4
a1i1p1s2t0,"adult, infant, preschooler and two school-age",a1c4,one adult and four children,1,1,1,2,0,4
a1i0p1s2t1,"adult, preschooler, two school-age and teenager",a1c4,one adult and four children,1,0,1,2,1,4
a1i0p1s1t2,"adult, preschooler, school-age and two teenager",a1c4,one adult and four children,1,0,1,1,2,4
a1i0p0s2t2,"adult, two school-age, two teenager",a1c4,one adult and four children,1,0,0,2,2,4
a1c4ave,all other single adult and four children families (average),a1c4ave,all other single adult and four children families (average),1,,,,,4
a2i2p2s0t0,"two adults, two infants, two preschoolers",a2c4,two adults and four children,2,2,2,0,0,4
a2i2p1s1t0,"two adults, two infants, preschooler, school-age",a2c4,two adults and four children,2,2,1,1,0,4
a2i1p2s1t0,"two adults, infant, two preschoolers, school-age",a2c4,two adults and four children,2,1,2,1,0,4
a2i1p1s2t0,"two adults, infant, preschooler, two school-age",a2c4,two adults and four children,2,1,1,2,0,4
a2i0p1s2t1,"two adults, preschooler, two school-age, and teenager",a2c4,two adults and four children,2,0,1,2,1,4
a2i0p1s1t2,"two adults, preschooler, school-age, and two teenagers",a2c4,two adults and four children,2,0,1,1,2,4
a2i0p0s2t2,"two adults, two school-age, two teenagers",a2c4,two adults and four children,2,0,0,2,2,4
a2c4ave,all other two adult and four children families (average),a2c4ave,all other two adult and four children families (average),2,,,,,4
a1i2p2s1t0,"adult, two infants, two preschoolers, and school-age",a1c5,one adult and five children,1,2,2,1,0,5
a1i1p2s2t0,"adult, infant, two preschoolers, two school-age",a1c5,one adult and five children,1,1,2,2,0,5
a1i0p2s3t0,"adult, two preschoolers, three school-age",a1c5,one adult and five children,1,0,2,3,0,5
a1i0p3s2t1,"adult, three preschoolers, two school-age",a1c6,one adult and six children,1,0,3,2,1,6
a1i0p1s2t2,"adult, preschooler, two school-age, two teenagers",a1c5,one adult and five children,1,0,1,2,2,5
