fips,laborforce,employed,unemployed,unemploymentrate,urseasonaladj,year
41001,6615,6024,591,8.9,7.3,2014
41003,44777,42507,2270,5.1,5.1,2014
41005,201555,189702,11853,5.9,5.8,2014
41007,17757,16532,1225,6.9,5.9,2014
41009,22847,21057,1790,7.8,7.4,2014
41011,25991,23738,2253,8.7,8.3,2014
41013,8924,7974,950,10.6,10.1,2014
41015,8343,7490,853,10.2,9.5,2014
41017,82147,76041,6106,7.4,7.1,2014
41019,43832,39973,3859,8.8,8.6,2014
41021,823,766,57,6.9,5.4,2014
41023,3125,2719,406,13,10.1,2014
41025,3233,2897,336,10.4,9.1,2014
41027,13370,12636,734,5.5,5.2,2014
41029,96917,89173,7744,8,7.7,2014
41031,9318,8399,919,9.9,8.7,2014
41033,33052,30034,3018,9.1,8.6,2014
41035,27878,25070,2808,10.1,9.1,2014
41037,3378,3042,336,9.9,8.8,2014
41039,170321,158952,11369,6.7,6.5,2014
41041,20073,18430,1643,8.2,7.3,2014
41043,54023,49893,4130,7.6,7.6,2014
41045,11851,10848,1003,8.5,7.9,2014
41047,147701,137161,10540,7.1,6.7,2014
41049,5321,4918,403,7.6,6.3,2014
41051,423473,399821,23652,5.6,5.7,2014
41053,35049,32719,2330,6.6,6.1,2014
41055,870,798,72,8.3,6.4,2014
41057,11081,10325,756,6.8,5.9,2014
41059,34548,31589,2959,8.6,7.2,2014
41061,11594,10682,912,7.9,6.9,2014
41063,3082,2738,344,11.2,8.9,2014
41065,12128,11252,876,7.2,6,2014
41067,296382,280527,15855,5.3,5.3,2014
41069,726,674,52,7.2,6.9,2014
41071,50593,47491,3102,6.1,5.9,2014
