fips,population,adults,kids,kidspresentc,a1cC,a2s2C,a1c0C,a1teenC,kidspresentCper,a1cCper,a2s2Cper,a1c0Cper,a1teenCper,mindiff,mostcommonfamilytype,year
41001,16280 ,1.776047,0.906448,1821.974803,416.994446,104.345587,1106.813166,35.299065,0.474189,0.108527,0.027157,0.28806,0.009187,30.279585,a1i1p1s0t0,2013
41003,87725 ,1.859928,0.71239,7935.006438,1650.640437,448.097468,5484.222174,0,0.37536,0.078082,0.021197,0.259428,0,154.362972,a1i0p0s1t1,2013
41005,386080 ,1.912958,0.871108,46179,7742,2266,23581,0,0.438235,0.073471,0.021504,0.223782,0,1333.151101,a3i0p0s0t0,2013
41007,37270 ,1.711155,0.709701,3497.086349,873.39068,59.43191,2463.018094,0,0.386555,0.096541,0.006569,0.272253,0,52.124815,a2i0p0s0t1,2013
41009,49850 ,1.711155,0.709701,4659.540171,1163.711316,79.187456,3281.741029,0,0.386555,0.096541,0.006569,0.272253,0,173.194815,a1i0p0s1t1,2013
41011,62860 ,1.765042,0.691029,4901.094516,832.848578,266.241554,4136.86876,0,0.355511,0.060412,0.019312,0.300076,0,112.626005,a1i0p0s2t0,2013
41013,20690 ,1.889398,0.825344,2082.115101,329.714248,25.773308,1194.776924,0,0.4351,0.068901,0.005386,0.249673,0,621.976197,a1i0p0s2t0,2013
41015,22300 ,1.765042,0.691029,1738.624078,295.446372,94.447062,1467.521104,0,0.355511,0.060412,0.019312,0.300076,0,69.156005,a1i0p0s1t1,2013
41017,162525 ,1.808083,0.643397,15338,3331,830,10117,0,0.364444,0.079147,0.019722,0.240389,0,421.261499,a1i0p0s2t0,2013
41019,108850 ,1.784835,0.887557,11275,2437,262,5396,297,0.4567,0.098712,0.010612,0.218568,0.01203,112.862347,a2i0p0s0t1,2013
41021,1945 ,1.889398,0.825344,185.701085,29.406777,2.298687,106.560569,0,0.4351,0.068901,0.005386,0.249673,0,118.223803,a2i0p1s0t1,2013
41023,7435 ,1.889398,0.825344,738.933498,117.014138,9.146834,424.021079,0,0.4351,0.068901,0.005386,0.249673,0,27.803803,a1i2p0s0t0,2013
41025,7260 ,1.717999,0.840252,717.374622,144.223626,33.16618,466.690842,13.791877,0.452055,0.090883,0.0209,0.294086,0.008691,24.096554,a1i1p1s0t0,2013
41027,23295 ,1.889398,0.825344,2217.89227,351.215301,27.454016,1272.689729,0,0.4351,0.068901,0.005386,0.249673,0,304.103803,a2i0p0s0t0,2013
41029,206310 ,1.744146,0.712414,19324,4704,323,14027,0,0.396895,0.096615,0.006634,0.2881,0,190.016098,a1i1p0s0t1,2013
41031,22040 ,1.889398,0.825344,2155.76032,341.376369,26.68492,1237.036647,0,0.4351,0.068901,0.005386,0.249673,0,126.636197,a1i0p0s0t3,2013
41033,82815 ,1.765042,0.691029,6430.281406,1092.70505,349.311385,5427.610136,0,0.355511,0.060412,0.019312,0.300076,0,8.403995,a1i1p0s0t1,2013
41035,66810 ,1.717999,0.840252,6415.969737,1289.890098,296.627732,4173.933988,123.350146,0.452055,0.090883,0.0209,0.294086,0.008691,152.896554,a1i0p2s0t0,2013
41037,7895 ,1.717999,0.840252,763.092514,153.414919,35.279842,496.432794,14.670826,0.452055,0.090883,0.0209,0.294086,0.008691,230.346554,a2i0p0s0t1,2013
41039,356125 ,1.797961,0.560469,27928,5116,1698,27202,441,0.311554,0.057072,0.018942,0.303455,0.00492,449.722372,a1i0p0s1t0,2013
41041,46560 ,1.711155,0.709701,4346.361214,1085.495465,73.865076,3061.167282,0,0.386555,0.096541,0.006569,0.272253,0,615.584815,a1i1p0s0t1,2013
41043,118665 ,1.859928,0.71239,10817.99356,2250.359563,610.902532,7476.777826,0,0.37536,0.078082,0.021197,0.259428,0,65.542972,a1i0p0s0t3,2013
41045,31440 ,1.717999,0.840252,3026.563127,608.471357,139.926245,1968.942377,58.187152,0.452055,0.090883,0.0209,0.294086,0.008691,5.463446,a2i0p0s0t1,2013
41047,322880 ,1.867042,0.924997,33698,7382,1686,16779,0,0.465545,0.101984,0.023292,0.231805,0,138.708328,a2i0p0s0t2,2013
41049,11425 ,1.889398,0.825344,1108.946135,175.607651,13.727008,636.344865,0,0.4351,0.068901,0.005386,0.249673,0,42.953803,a2i0p1s0t1,2013
41051,756530 ,1.803252,0.568446,70648,13349,4146,69387,230,0.32409,0.061237,0.019019,0.318305,0.001055,697.358931,a3i0p0s0t0,2013
41053,77065 ,1.803835,0.832633,7179.428349,1907.575494,273.374527,3334.478241,0,0.421053,0.111874,0.016033,0.195557,0,69.236409,a1i1p0s1t0,2013
41055,1780 ,1.889398,0.825344,175.180339,27.740759,2.168457,100.523466,0,0.4351,0.068901,0.005386,0.249673,0,25.523803,a2i0p1s0t1,2013
41057,25375 ,1.711155,0.709701,2384.012266,595.402539,40.515557,1679.073595,0,0.386555,0.096541,0.006569,0.272253,0,28.125185,a1i2p0s0t0,2013
41059,77895 ,1.776047,0.906448,8569.966893,1961.403962,490.807131,5206.083075,166.035126,0.474189,0.108527,0.027157,0.28806,0.009187,261.719585,a1i0p0s0t3,2013
41061,26325 ,1.776047,0.906448,2907.661289,665.47496,166.523502,1766.34594,56.333229,0.474189,0.108527,0.027157,0.28806,0.009187,27.810415,a1i1p1s0t0,2013
41063,7045 ,1.776047,0.906448,791.397014,181.126632,45.32378,480.75782,15.33258,0.474189,0.108527,0.027157,0.28806,0.009187,46.000415,a2i0p0s0t1,2013
41065,25810 ,1.889398,0.825344,2502.448663,396.276353,30.976376,1435.976288,0,0.4351,0.068901,0.005386,0.249673,0,122.536197,a1i1p0s0t0,2013
41067,550990 ,1.871953,0.795732,63519,11203,4559,36935,105,0.430316,0.075896,0.030885,0.25022,0.000711,365.445274,a3i0p0s0t0,2013
41069,1430 ,1.889398,0.825344,143.022588,22.648405,1.770395,82.070433,0,0.4351,0.068901,0.005386,0.249673,0,51.926197,a2i0p1s0t1,2013
41071,101400 ,1.803835,0.832633,9444.571651,2509.424506,359.625473,4386.521759,0,0.421053,0.111874,0.016033,0.195557,0,422.573591,a1i0p0s2t0,2013
