familycode,housing,childcare,food ,transportation,healthcare ,miscellaneous,taxes,fips,year
a1i0p0s0t0,725.9934712,0,248.5212151,270.1328796,126.3395786,137.0987144,378.1334676,41071,2014
a1i1p0s0t0,864.8139282,664.2857895,368.6692866,278.4928796,391.1524881,256.7414372,713.9432911,41071,2014
a1i0p1s0t0,864.8139282,580.3581205,377.0011118,278.4928796,388.2029556,248.8868996,675.9829486,41071,2014
a1i0p0s1t0,864.8139282,382.8220913,444.4385697,278.4928796,396.8959445,236.7463413,542.8527685,41071,2014
a1i0p0s0t1,864.8139282,0,470.9997575,270.1328796,417.1901349,202.31367,417.6251127,41071,2014
a1i2p0s0t0,864.8139282,1328.571579,486.3671203,278.4928796,403.7849272,336.2030434,964.3018971,41071,2014
a1i1p1s0t0,864.8139282,1244.64391,494.3202262,278.4928796,400.8353946,328.3106339,926.1585225,41071,2014
a1i1p0s1t0,864.8139282,1047.107881,558.692345,278.4928796,409.5283835,315.8635417,866.0027369,41071,2014
a1i1p0s0t1,864.8139282,664.2857895,584.0462061,278.4928796,429.822574,282.1461377,526.5349274,41071,2014
a1i0p2s0t0,864.8139282,1160.716241,502.2733321,278.4928796,397.8858621,320.4182243,888.015148,41071,2014
a1i0p1s1t0,864.8139282,963.1802118,566.6454509,278.4928796,406.578851,307.9711321,727.6409396,41071,2014
a1i0p1s0t1,864.8139282,580.3581205,591.999312,278.4928796,426.8730414,274.2537282,487.9593425,41071,2014
a1i0p0s2t0,864.8139282,765.6441826,631.0175698,278.4928796,415.2718399,295.52404,559.6700368,41071,2014
a1i0p0s1t1,864.8139282,382.8220913,656.3714309,278.4928796,435.5660303,261.806636,454.1105143,41071,2014
a1i0p0s0t2,864.8139282,0,681.7252919,270.1328796,455.8602208,227.253232,377.4388385,41071,2014
a1i3p0s0t0,1274.709467,1992.857369,591.2596655,278.4928796,416.4173662,455.3736747,1431.2857,41071,2014
a1i2p1s0t0,1274.709467,1908.9297,598.8340521,278.4928796,413.4678337,447.4433932,1392.959294,41071,2014
a1i2p0s1t0,1274.709467,1711.39367,660.140832,278.4928796,422.1608225,434.6897671,1325.469824,41071,2014
