familycode,oregonworkingfamilychildcare,earnedincometax,childcaretax,childtax,fips,year
a1i0p0s0t0,0,0,0,0,41071,2014
a1i1p0s0t0,0,0,-55,-83.33333333,41071,2014
a1i0p1s0t0,0,0,-55,-83.33333333,41071,2014
a1i0p0s1t0,-91.87730191,-61.17742794,-62.5,-83.33333333,41071,2014
a1i0p0s0t1,0,-132.4738869,0,-83.33333333,41071,2014
a1i2p0s0t0,0,0,-100,-166.6666667,41071,2014
a1i1p1s0t0,0,0,-100,-166.6666667,41071,2014
a1i1p0s1t0,0,0,-100,-166.6666667,41071,2014
a1i1p0s0t1,-265.7143158,-146.1578713,-60,-166.6666667,41071,2014
a1i0p2s0t0,0,0,-100,-166.6666667,41071,2014
a1i0p1s1t0,-231.1632508,-8.286579278,-100,-166.6666667,41071,2014
a1i0p1s0t1,-232.1432482,-173.2650078,-62.5,-166.6666667,41071,2014
a1i0p0s2t0,-306.257673,-121.8017532,-115,-166.6666667,41071,2014
a1i0p0s1t1,-153.1288365,-200.3524314,-65,-166.6666667,41071,2014
a1i0p0s0t2,0,-268.9329396,0,-166.6666667,41071,2014
a1i3p0s0t0,0,0,-100,-250,41071,2014
a1i2p1s0t0,0,0,-100,-250,41071,2014
a1i2p0s1t0,0,0,-100,-250,41071,2014
a1i2p0s0t1,0,0,-100,-250,41071,2014
a1i1p2s0t0,0,0,-100,-250,41071,2014
a1i1p1s1t0,0,0,-100,-250,41071,2014
a1i1p1s0t1,0,0,-100,-250,41071,2014
a1i1p0s2t0,0,0,-100,-250,41071,2014
a1i1p0s1t1,-83.76863046,0,-100,-250,41071,2014
a1i1p0s0t2,-239.1428842,0,-50,-250,41071,2014
a1i0p3s0t0,0,0,-100,-250,41071,2014
a1i0p2s1t0,0,0,-100,-250,41071,2014
a1i0p2s0t1,0,0,-100,-250,41071,2014
a1i0p1s2t0,0,0,-100,-250,41071,2014
a1i0p1s1t1,-154.1088339,0,-100,-250,41071,2014
a1i0p1s0t2,-208.9289234,0,-50,-250,41071,2014
a1i0p0s3t0,0,0,-100,-250,41071,2014
a1i0p0s2t1,-245.0061384,0,-100,-250,41071,2014
a1i0p0s1t2,-153.1288365,-9.980866223,-50,-250,41071,2014
a1i0p0s0t3,0,-99.83882374,0,-250,41071,2014
a2i0p0s0t0,0,0,0,0,41071,2014
a2i1p0s0t0,0,0,-50,-83.33333333,41071,2014
a2i0p1s0t0,-92.85729929,0,-50,-83.33333333,41071,2014
a2i0p0s1t0,-122.5030692,-19.20941904,-52.5,-83.33333333,41071,2014
a2i0p0s0t1,0,-79.78369441,0,-83.33333333,41071,2014
a2i2p0s0t0,0,0,-100,-166.6666667,41071,2014
a2i1p1s0t0,0,0,-100,-166.6666667,41071,2014
a2i1p0s1t0,-251.3058914,0,-100,-166.6666667,41071,2014
