familycode,hourly,qualifier,monthly,annual,fips,year
a1i0p0s0t0,10.71715526,,1886.219326,22634.63192,41071,2014
a1i1p0s0t0,19.31685095,,3399.765767,40797.1892,41071,2014
a1i0p1s0t0,18.61025858,,3275.40551,39304.86613,41071,2014
a1i0p0s1t0,16.18280943,,2848.17446,34178.09352,41071,2014
a1i0p0s0t1,13.79129695,,2427.268263,29127.21915,41071,2014
a1i2p0s0t0,24.97652675,,4395.868708,52750.4245,41071,2014
a1i1p1s0t0,24.26652743,,4270.908828,51250.90594,41071,2014
a1i1p0s1t0,23.14678994,,4073.835029,48886.02035,41071,2014
a1i1p0s0t1,16.99774766,,2991.603589,35899.24306,41071,2014
a1i0p2s0t0,23.55652812,,4145.948949,49751.38738,41071,2014
a1i0p1s1t0,20.50685737,,3609.206896,43310.48276,41071,2014
a1i0p1s0t1,16.30781494,,2870.17543,34442.10516,41071,2014
a1i0p0s2t0,17.61766127,,3100.708384,37208.50061,41071,2014
a1i0p0s1t1,15.61838395,,2748.835576,32986.02691,41071,2014
a1i0p0s0t2,13.8728681,,2441.624785,29299.49742,41071,2014
a1i3p0s0t0,34.60452342,,6090.396122,73084.75346,41071,2014
a1i2p1s0t0,33.89111715,,5964.836619,71578.03942,41071,2014
a1i2p0s1t0,32.71055262,,5757.057262,69084.68714,41071,2014
a1i2p0s0t1,29.66648177,,5221.300792,62655.6095,41071,2014
a1i1p2s0t0,33.17771088,,5839.277116,70071.32539,41071,2014
a1i1p1s1t0,31.99714636,,5631.497759,67577.97311,41071,2014
a1i1p1s0t1,28.95307551,,5095.741289,61148.89547,41071,2014
a1i1p0s2t0,30.84983314,,5429.570633,65154.8476,41071,2014
a1i1p0s1t1,27.10109522,,4769.792758,57237.5131,41071,2014
a1i1p0s0t2,23.16028421,,4076.210021,48914.52025,41071,2014
a1i0p3s0t0,32.4310533,,5707.865382,68494.38458,41071,2014
a1i0p2s1t0,31.28374009,,5505.938256,66071.25907,41071,2014
a1i0p2s0t1,28.23135641,,4968.718728,59624.62474,41071,2014
a1i0p1s2t0,30.13642688,,5304.01113,63648.13356,41071,2014
a1i0p1s1t1,25.80296291,,4541.321473,54495.85767,41071,2014
a1i0p1s0t2,22.69804141,,3994.855289,47938.26346,41071,2014
a1i0p0s3t0,28.98911366,,5102.084005,61225.00805,41071,2014
a1i0p0s2t1,23.89746955,,4205.954641,50471.4557,41071,2014
a1i0p0s1t2,21.99930003,,3871.876805,46462.52166,41071,2014
a1i0p0s0t3,19.71222905,,3469.352313,41632.22776,41071,2014
a2i0p0s0t0,8.211853656,per adult,2890.572487,34686.86984,41071,2014
a2i1p0s0t0,11.59568576,per adult,4081.681388,48980.17665,41071,2014
a2i0p1s0t0,10.85473271,per adult,3820.865913,45850.39096,41071,2014
a2i0p0s1t0,10.08078706,per adult,3548.437046,42581.24455,41071,2014
a2i0p0s0t1,9.064859076,per adult,3190.830395,38289.96474,41071,2014
a2i2p0s0t0,14.32292372,per adult,5041.669149,60500.02978,41071,2014
a2i1p1s0t0,13.96622058,per adult,4916.109646,58993.31575,41071,2014
a2i1p0s1t0,12.34803261,per adult,4346.507478,52158.08973,41071,2014
a2i1p0s0t1,10.67480629,per adult,3757.531813,45090.38176,41071,2014
a2i0p2s0t0,12.83761066,per adult,4518.838952,54226.06743,41071,2014
a2i0p1s1t0,11.75062415,per adult,4136.219699,49634.63639,41071,2014
a2i0p1s0t1,10.37047391,per adult,3650.406817,43804.88181,41071,2014
a2i0p0s2t0,10.95960295,per adult,3857.780239,46293.36287,41071,2014
a2i0p0s1t1,10.01428867,per adult,3525.029611,42300.35533,41071,2014
a2i0p0s0t2,9.058975102,per adult,3188.759236,38265.11083,41071,2014
a2i3p0s0t0,19.05448072,per adult,6707.177212,80486.12654,41071,2014
a2i2p1s0t0,18.69607411,per adult,6581.018086,78972.21703,41071,2014
a2i2p0s1t0,18.09200398,per adult,6368.385403,76420.62483,41071,2014
a2i2p0s0t1,16.56453802,per adult,5830.717382,69968.60859,41071,2014
a2i1p2s0t0,18.3376675,per adult,6454.85896,77458.30752,41071,2014
a2i1p1s1t0,17.73359738,per adult,6242.226276,74906.71532,41071,2014
a2i1p1s0t1,15.78811455,per adult,5557.416321,66688.99585,41071,2014
a2i1p0s2t0,17.14615291,per adult,6035.445824,72425.34989,41071,2014
a2i1p0s1t1,14.56999916,per adult,5128.639704,61543.67645,41071,2014
a2i1p0s0t2,13.29051736,per adult,4678.262111,56139.14533,41071,2014
a2i0p3s0t0,17.96263523,per adult,6322.847602,75874.17123,41071,2014
a2i0p2s1t0,17.37519077,per adult,6116.06715,73392.8058,41071,2014
a2i0p2s0t1,15.0716616,per adult,5305.224882,63662.69858,41071,2014
a2i0p1s2t0,16.7877463,per adult,5909.286698,70911.44038,41071,2014
a2i0p1s1t1,13.97504364,per adult,4919.21536,59030.58432,41071,2014
a2i0p1s0t2,12.95762305,per adult,4561.083312,54732.99975,41071,2014
a2i0p0s3t0,15.8142653,per adult,5566.621386,66799.45663,41071,2014
a2i0p0s2t1,13.51623325,per adult,4757.714103,57092.56924,41071,2014
a2i0p0s1t2,12.68892189,per adult,4466.500506,53598.00608,41071,2014
a2i0p0s0t3,11.95483794,per adult,4208.102956,50497.23547,41071,2014
a1i2p2s0t0,39.25528309,,6908.929823,82907.15788,41071,2014
a1i2p1s1t0,37.89415031,,6669.370454,80032.44545,41071,2014
a1i1p2s1t0,37.06172979,,6522.864444,78274.37332,41071,2014
a1i1p1s2t0,35.88813168,,6316.311176,75795.73412,41071,2014
a1i0p1s2t1,26.87041299,,4729.192686,56750.31224,41071,2014
a1i0p1s1t2,24.58223368,,4326.473128,51917.67754,41071,2014
a1i0p0s2t2,24.04483138,,4231.890322,50782.68387,41071,2014
a1c4ave,33.57038424,,5908.387627,70900.65152,41071,2014
a2i2p2s0t0,21.36255434,per adult,7519.619128,90235.42954,41071,2014
a2i2p1s1t0,20.77510988,per adult,7312.838676,87754.06412,41071,2014
a2i1p2s1t0,20.41670327,per adult,7186.67955,86240.1546,41071,2014
a2i1p1s2t0,19.8292588,per adult,6979.899098,83758.78918,41071,2014
a2i0p1s2t1,15.31792119,per adult,5391.908257,64702.89909,41071,2014
a2i0p1s1t2,14.17383153,per adult,4989.188699,59870.26439,41071,2014
a2i0p0s2t2,13.90513038,per adult,4894.605893,58735.27072,41071,2014
a2c4ave,18.09684845,per adult,6370.090653,76441.08784,41071,2014
a1i2p2s1t0,46.44474811,,8174.275668,98091.30802,41071,2014
a1i1p2s2t0,44.25317261,,7788.558379,93462.70055,41071,2014
a1i0p2s3t0,42.0615971,,7402.84109,88834.09308,41071,2014
a1i0p3s2t1,38.58063442,,6790.191658,81482.29989,41071,2014
a1i0p1s2t2,30.26119315,,5325.969995,63911.63994,41071,2014
a1i0p0s3t2,29.65810752,,5219.826924,62637.92309,41071,2014
a1i0p0s2t3,27.44392437,,4830.130689,57961.56827,41071,2014
a1c5ave,38.12084223,,6709.268233,80511.2188,41071,2014
a1c6min,45.39435918,,7989.407216,95872.8866,41071,2014
a2i2p2s1t0,24.33448498,per 2 adults,8565.738714,102788.8646,41071,2014
a2i1p2s2t0,23.37314258,per 2 adults,8227.346187,98728.15424,41071,2014
a2i0p2s3t0,22.41180017,per 2 adults,7888.953659,94667.44391,41071,2014
a2i0p2s2t1,20.23836352,per 2 adults,7123.903958,85486.84749,41071,2014
a2i0p1s2t2,16.68931838,per 2 adults,5874.64007,70495.68084,41071,2014
a2i0p0s3t2,16.18282061,per 2 adults,5696.352853,68356.23424,41071,2014
a2i0p0s2t3,15.25699271,per 2 adults,5370.461434,64445.5372,41071,2014
a2c5ave,19.39474726,per 2 adults,6826.951037,81923.41244,41071,2014
a2c6min,24.22280127,per 2 adults,8526.426047,102317.1126,41071,2014
a3i0p0s0t0,9.67875403,per 2 adults,3406.921419,40883.05702,41071,2014
a3i1p0s0t0,14.24400935,per 2 adults,5013.891292,60166.69551,41071,2014
a3i0p1s0t0,13.69432952,per 2 adults,4820.403992,57844.8479,41071,2014
a3i0p0s1t0,13.05906287,per 2 adults,4596.790129,55161.48155,41071,2014
a3i0p0s0t1,11.95351889,per 2 adults,4207.638648,50491.66377,41071,2014
a3i2p0s0t0,16.8979496,per 2 adults,5948.07826,71376.93912,41071,2014
a3i1p1s0t0,16.53954299,per 2 adults,5821.919134,69863.0296,41071,2014
a3i1p0s1t0,15.25158787,per 2 adults,5368.558929,64422.70715,41071,2014
a3i1p0s0t1,13.73644903,per 2 adults,4835.230057,58022.76069,41071,2014
a3i0p2s0t0,15.79102658,per 2 adults,5558.441354,66701.29625,41071,2014
a3i0p1s1t0,14.62872529,per 2 adults,5149.311303,61791.73563,41071,2014
a3i0p1s0t1,13.39110407,per 2 adults,4713.668633,56564.0236,41071,2014
a3i0p0s2t0,13.98374405,per 2 adults,4922.277906,59067.33487,41071,2014
a3i0p0s1t1,13.09923456,per 2 adults,4610.930567,55331.1668,41071,2014
a3i0p0s0t2,12.30857168,per 2 adults,4332.617232,51991.40679,41071,2014
a3i3p0s0t0,21.09546957,per 2 adults,7425.605287,89107.26345,41071,2014
a3i2p1s0t0,20.73706296,per 2 adults,7299.446161,87593.35393,41071,2014
a3i2p0s1t0,20.14961849,per 2 adults,7092.665709,85111.98851,41071,2014
a3i2p0s0t1,18.16375937,per 2 adults,6393.643297,76723.71957,41071,2014
a3i1p2s0t0,20.37865635,per 2 adults,7173.287035,86079.44442,41071,2014
a3i1p1s1t0,19.79121188,per 2 adults,6966.506583,83598.07899,41071,2014
a3i1p1s0t1,17.41939936,per 2 adults,6131.628576,73579.54291,41071,2014
a3i1p0s2t0,19.20376742,per 2 adults,6759.726131,81116.71357,41071,2014
a3i1p0s1t1,16.61514442,per 2 adults,5848.530837,70182.37004,41071,2014
a3i1p0s0t2,15.33358442,per 2 adults,5397.421715,64769.06058,41071,2014
a3i0p3s0t0,20.02024974,per 2 adults,7047.127909,84565.5349,41071,2014
a3i0p2s1t0,19.43280527,per 2 adults,6840.347457,82084.16948,41071,2014
a3i0p2s0t1,16.73085346,per 2 adults,5889.26042,70671.12503,41071,2014
a3i0p1s2t0,18.82873515,per 2 adults,6627.714773,79532.57728,41071,2014
a3i0p1s1t1,16.01603249,per 2 adults,5637.643435,67651.72122,41071,2014
a3i0p1s0t2,15.10075954,per 2 adults,5315.46736,63785.60831,41071,2014
a3i0p0s3t0,17.47753045,per 2 adults,6152.090717,73825.0886,41071,2014
a3i0p0s2t1,15.56402794,per 2 adults,5478.537836,65742.45403,41071,2014
a3i0p0s1t2,14.74524335,per 2 adults,5190.325659,62283.90791,41071,2014
a3i0p0s0t3,14.01511269,per 2 adults,4933.319666,59199.83599,41071,2014
a3i2p2s0t0,23.13814406,per 2 adults,8144.626708,97735.5205,41071,2014
a3i2p1s1t0,22.53691173,per 2 adults,7932.99293,95195.91516,41071,2014
a3i1p2s1t0,22.17680165,per 2 adults,7806.23418,93674.81016,41071,2014
a3i1p1s2t0,21.57556932,per 2 adults,7594.600402,91135.20482,41071,2014
a3i0p1s2t1,17.04651284,per 2 adults,6000.372518,72004.47022,41071,2014
a3i0p1s1t2,15.91194561,per 2 adults,5601.004854,67212.05825,41071,2014
a3i0p0s2t2,15.62922956,per 2 adults,5501.488804,66017.86564,41071,2014
a3c4ave,18.69196339,per 2 adults,6579.571113,78954.85335,41071,2014
a3c5min,25.10099585,per 2 adults,8835.550541,106026.6065,41071,2014
a4i0p0s0t0,10.60573021,per 2 adults,3733.217032,44798.60439,41071,2014
a4c1ave,15.02867547,per 2 adults,5290.093765,63481.12518,41071,2014
a4c2ave,16.09793002,per 2 adults,5666.471366,67997.65639,41071,2014
a4c3min,18.7653135,per 2 adults,6605.390352,79264.68423,41071,2014
a1i0p0s0t0,8.22523309,,1447.641024,17371.69229,41069,2014
a1i1p0s0t0,13.06453045,,2299.357359,27592.28831,41069,2014
a1i0p1s0t0,12.2756974,,2160.522743,25926.27292,41069,2014
a1i0p0s1t0,13.18471503,,2320.509846,27846.11815,41069,2014
a1i0p0s0t1,11.19383735,,1970.115374,23641.38449,41069,2014
a1i2p0s0t0,15.59649309,,2744.982784,32939.7934,41069,2014
a1i1p1s0t0,14.92260097,,2626.377771,31516.53325,41069,2014
a1i1p0s1t0,15.67185296,,2758.246121,33098.95346,41069,2014
a1i1p0s0t1,13.14003595,,2312.646328,27751.75594,41069,2014
a1i0p2s0t0,14.16592098,,2493.202093,29918.42511,41069,2014
a1i0p1s1t0,14.98927805,,2638.112937,31657.35525,41069,2014
a1i0p1s0t1,12.47652582,,2195.868544,26350.42253,41069,2014
a1i0p0s2t0,15.73884469,,2770.036666,33240.44,41069,2014
a1i0p0s1t1,13.20834495,,2324.66871,27896.02453,41069,2014
a1i0p0s0t2,10.90022552,,1918.439691,23021.2763,41069,2014
a1i3p0s0t0,21.72936652,,3824.368508,45892.42209,41069,2014
a1i2p1s0t0,20.49927475,,3607.872355,43294.46826,41069,2014
a1i2p0s1t0,21.76251094,,3830.201926,45962.42311,41069,2014
a1i2p0s0t1,18.04644753,,3176.174765,38114.09718,41069,2014
a1i1p2s0t0,19.59244641,,3448.270569,41379.24683,41069,2014
a1i1p1s1t0,20.54849478,,3616.535082,43398.42098,41069,2014
a1i1p1s0t1,17.38071901,,3059.006546,36708.07855,41069,2014
a1i1p0s2t0,21.79565536,,3836.035344,46032.42413,41069,2014
a1i1p0s1t1,18.08953894,,3183.758854,38205.10624,41069,2014
a1i1p0s0t2,15.63688117,,2752.091085,33025.09302,41069,2014
a1i0p3s0t0,18.6930249,,3289.972382,39479.66858,41069,2014
a1i0p2s1t0,19.64166645,,3456.933296,41483.19955,41069,2014
a1i0p2s0t1,16.69780364,,2938.81344,35265.76128,41069,2014
a1i0p1s2t0,20.59771482,,3625.197809,43502.37371,41069,2014
a1i0p1s1t1,17.41537841,,3065.1066,36781.2792,41069,2014
a1i0p1s0t2,14.90067361,,2622.518555,31470.22265,41069,2014
a1i0p0s3t0,21.82879978,,3841.868762,46102.42514,41069,2014
a1i0p0s2t1,18.12271817,,3189.598398,38275.18078,41069,2014
a1i0p0s1t2,15.68127821,,2759.904964,33118.85957,41069,2014
a1i0p0s0t3,13.39976466,,2358.35858,28300.30296,41069,2014
a2i0p0s0t0,6.987761006,per adult,2459.691874,29516.30249,41069,2014
a2i1p0s0t0,8.625955453,per adult,3036.336319,36436.03583,41069,2014
a2i0p1s0t0,8.240243038,per adult,2900.565549,34806.78659,41069,2014
a2i0p0s1t0,8.655130333,per adult,3046.605877,36559.27053,41069,2014
a2i0p0s0t1,7.595022498,per adult,2673.447919,32081.37503,41069,2014
a2i2p0s0t0,9.744060904,per adult,3429.909438,41158.91326,41069,2014
a2i1p1s0t0,9.391905567,per adult,3305.950759,39671.40911,41069,2014
a2i1p0s1t0,9.766259424,per adult,3437.723317,41252.67981,41069,2014
a2i1p0s0t1,8.523733806,per adult,3000.3543,36004.2516,41069,2014
a2i0p2s0t0,9.019655731,per adult,3174.918817,38099.02581,41069,2014
a2i0p1s1t0,9.40998986,per adult,3312.316431,39747.79717,41069,2014
a2i0p1s0t1,8.164063984,per adult,2873.750522,34485.00627,41069,2014
a2i0p0s2t0,9.788457945,per adult,3445.537197,41346.44636,41069,2014
a2i0p0s1t1,8.545932327,per adult,3008.168179,36098.01815,41069,2014
a2i0p0s0t2,7.389168909,per adult,2600.987456,31211.84947,41069,2014
a2i3p0s0t0,12.35663504,per adult,4349.535532,52194.42639,41069,2014
a2i2p1s0t0,12.16921116,per adult,4283.562329,51402.74795,41069,2014
a2i2p0s1t0,12.34342211,per adult,4344.884582,52138.61498,41069,2014
a2i2p0s0t1,10.95324321,per adult,3855.54161,46266.49931,41069,2014
a2i1p2s0t0,11.38389669,per adult,4007.131634,48085.5796,41069,2014
a2i1p1s1t0,12.17040831,per adult,4283.983726,51407.80471,41069,2014
a2i1p1s0t1,10.54199373,per adult,3710.781793,44529.38152,41069,2014
a2i1p0s2t0,12.478622,per adult,4392.474944,52709.69933,41069,2014
