fips,medianwage,medianhourly,lessthan10hour,btwn10and15hour,totalunder15hour,totalpercentORjobs,countySSS,countySSW,countySSWH2,countySSWrank,countySSWH2rank,year
41001,43116,20.72884615,,,,,,,,,,2012
41003,47798,22.97980769,,,,,,,,,,2012
41005,63762,30.65480769,,,,,,,,,,2012
41007,47232,22.70769231,,,,,,,,,,2012
41009,54518,26.21057692,,,,,,,,,,2012
41011,38605,18.56009615,,,,,,,,,,2012
41013,36234,17.42019231,,,,,,,,,,2012
41015,39299,18.89375,,,,,,,,,,2012
41017,48859,23.48990385,,,,,,,,,,2012
41019,40289,19.36971154,,,,,,,,,,2012
41021,48977,23.54663462,,,,,,,,,,2012
41023,36692,17.64038462,,,,,,,,,,2012
41025,42395,20.38221154,,,,,,,,,,2012
41027,60312,28.99615385,,,,,,,,,,2012
41029,43855,21.08413462,,,,,,,,,,2012
41031,46589,22.39855769,,,,,,,,,,2012
41033,37320,17.94230769,,,,,,,,,,2012
41035,39181,18.83701923,,,,,,,,,,2012
41037,42796,20.575,,,,,,,,,,2012
41039,42864,20.60769231,,,,,,,,,,2012
41041,43770,21.04326923,,,,,,,,,,2012
41043,45790,22.01442308,,,,,,,,,,2012
41045,37543,18.04951923,,,,,,,,,,2012
41047,46936,22.56538462,,,,,,,,,,2012
41049,51781,24.89471154,,,,,,,,,,2012
41051,51878,24.94134615,,,,,,,,,,2012
41053,51870,24.9375,,,,,,,,,,2012
41055,47641,22.90432692,,,,,,,,,,2012
41057,44406,21.34903846,,,,,,,,,,2012
41059,47867,23.01298077,,,,,,,,,,2012
41061,42860,20.60576923,,,,,,,,,,2012
41063,42962,20.65480769,,,,,,,,,,2012
41065,43499,20.91298077,,,,,,,,,,2012
41067,65356,31.42115385,,,,,,,,,,2012
41069,38851,18.67836538,,,,,,,,,,2012
41071,52777,25.37355769,,,,,,,,,,2012
41001,,,1010.45386,1563.177862,2573.631721,0.51,,,,,,2013
41003,,,5234.370622,8244.915147,13479.28577,0.38,,,,,,2013
41005,,,21673.30832,39274.52802,60947.83634,0.39,,,,,,2013
41007,,,3005.521427,5434.190134,8439.711561,0.48,,,,,,2013
41009,,,1943.678913,2977.794331,4921.473244,0.47,,,,,,2013
41011,,,4097.61557,6768.551831,10866.1674,0.47,,,,,,2013
41013,,,829.3927607,1803.900477,2633.293238,0.45,,,,,,2013
41015,,,1223.958256,1981.885148,3205.843404,0.51,,,,,,2013
41017,,,10301.05018,20980.56405,31281.61424,0.44,,,,,,2013
41019,,,6657.080005,10150.16982,16807.24982,0.47,,,,,,2013
41021,,,113.400306,210.0421529,323.442459,0.38,,,,,,2013
41023,,,362.3149195,572.1816087,934.4965282,0.44,,,,,,2013
41025,,,431.591801,621.1851223,1052.776923,0.51,,,,,,2013
41027,,,3173.592861,5072.24488,8245.837742,0.56,,,,,,2013
41029,,,14651.49958,25041.609,39693.10857,0.47,,,,,,2013
